Quincy,Second String Music,IL,,543
Racine,Speaker Paul Ryan's office,WI,,544
Raleigh,City Plaza,NC,,545
Ramona,10th and Main Street,CA,,546
Rapid City,Memorial Park,SD,,547
Reading,Reading Town Common,MA,,548
Red Bank,Riverside Gardens Park,NJ,,549
Red Bank,Marine Park,NJ,,550
Redding,Redding City Hall; Cypress Ave,CA,,551
Redmond,Centennial Park,OR,,552
Redondo Beach,Intersection of Hawthorne and Artesia boulevards,CA,,553
Redwood City,Redwood City Courthouse Square,CA,,554
Reno,Reno City Hall,NV,,555
Reno,Reno Federal Building,NV,,556
Rhinebeck,Episcopal Church of the Messiah,NY,,557
Richmond,ICE/West County Detention Center,CA,,558
Richmond,Richmond Municipal Building,IN,,559
Richmond,Virginia Civil Rights Monument,VA,,560
Riverside,Galleria at Tyler,CA,,561
Roanoke,Roanoke Downtown Library,VA,,562
Rochester,Peace Plaza,MN,,563
Rochester,Washington Square Park,NY,,564
Rochester,Federal Building and ICE Office,NY,,565
Rockford,City Hall,IL,,566
Rock Hill,outside U.S. Sen. Lindsey Graham's Rock Hill office,SC,,567
Rockville Centre,,NY,,568
Roseburg,Garden Valley Blvd,OR,,569
Rosewell,,NM,,570
Rouses Point,U.S. Customs and Border Protection Rouses Point,NY,,571
Rutherford,Rutherford Congregational Church,NJ,,572
Rutland,Main Street Park,VT,,573
Sacramento,US Citizenship and Immigration Services,CA,,574
Saint Augustine,Plaza de la Constitución,FL,,575
Saint Charles,Randall & 64,IL,,576
Saint George,St. George Blvd,UT,,577
Saint Joseph,On the bluff in downtown St. Joseph,MI,,578
Saint Joseph,francis street united methodist church,MO,,579
Saint Louis,Kiener Plaza East,MO,,580
Salem,Oregon State Capitol,OR,,581
Salida,Centennial Park - Hwy 50 at Holman,CO,,582
Salisbury,,MD,,583
Salisbury,Kelsey Scott Park,NC,,584
Salt Lake City,Utah State Capitol,UT,,585
San Antonio,San Fernando Cathedral,TX,,586
San Bernardino,655 W Rialto Ave; outside Homeland Security office,CA,,587
San Diego,Waterfront Park,CA,,588
San Francisco,Civic Center Plaza,CA,,589
San Jose,San Jose City Hall,CA,,590
San Leandro,San Leandro City Hall,CA,,591
San Luis,Friendship Park,AZ,,592
San Luis Obispo,SLO County Courthouse,CA,,593
San Mateo,,CA,,594
Sandpoint,Bonner County Courthouse on First Avenue,ID,,595
Sandwich,SandwichFest,MA,,596
Santa Barbara,De La Guerra Plaza,CA,,597
Santa Clarita,city hall,CA,,598
Santa Cruz,Santa Cruz City Hall 809 Center St. and Abbott Square 118 Copper St.,CA,,599
Santa Fe,Railyard Park,NM,,600
Santa Maria,ICE facility,CA,,601
Santa Rosa,"Courthouse Square, Downtown Santa Rosa",CA,,602
Saranac Lake,Riverside Park,NY,,603
Sarasota,Five Points Park,FL,,604
Saratoga Springs,Congress Park,NY,,605
Sault Ste Marie,the eagle statue near Superior Coffee,MI,,606
Savannah,Johnson Square to City Hall,GA,,607
Scottsbluff,Deb Fischer's Office,NE,,608
Scranton,Lackawanna County Courthouse Square,PA,,609
Seattle,SeaTac Detention Center,WA,,610
Sebastian,Riverview Park,FL,,611
Sebastopol,Sebastopol Plaza,CA,,612
Sebring,Sebring High School,FL,,613
